interaction_id,user_id,alert_id,time_of_reaction,affirmative
1c64cd72-78e6-4ab6-80c7-0967507bc4c4,64b39bbc-e5f5-4684-ad7b-06256a5fdf97,c766f95f-bd15-4715-8d7b-f32dd95b5e7b,2024-12-30 19:07:38.140771,True
045284be-cd7b-47a6-954b-22fc14081b43,82a4e373-2af1-4f84-8d01-d4eabb8d699a,860cff2b-8c9e-4f6b-8d55-3cbd264b8582,2024-05-12 22:20:55.947089,False
881b7408-4144-4b70-8293-ec5c59af137d,2097efde-8ce9-4f7e-8291-ebd48ec64ce1,dca6d39f-6bf5-4938-8736-091bd0a0b74a,2024-03-02 21:27:38.450894,False
a90e6f1b-768c-4387-b470-0254f1362828,c4914a71-f01e-4241-8018-4d967e5bac13,47bb54a7-8012-4bea-91ae-b561b4e398ac,2024-09-15 14:41:24.303363,True
1b0e15da-59e9-4be0-ad60-ce446c6dec6c,2800c8f6-578c-4691-8279-fb338da752c0,ab85999c-156a-48e2-940e-7e2d2365732d,2024-09-30 23:37:35.402692,True
ebb99ac2-b647-4057-a528-4b0bbaed4a71,b2f7da01-adf1-46ef-a7da-c64c8ebcdcd1,58b7aed6-2502-43a3-86cc-6ef18768ab78,2024-02-23 05:39:38.688680,False
5fc40f0a-19f0-4015-9d26-ce371a9ae28b,69a6fd83-05af-40e0-adb0-76af06ede6a1,ddfd4950-1abe-48a9-8aa9-86e05afbd253,2024-07-27 02:05:38.799855,False
414362a5-9be9-4dd6-8cb0-4513096e18d1,d889e09b-86db-417c-9e55-7ebf54469b85,32aa437c-0392-4579-9b4e-460b3869b6da,2024-11-27 03:23:57.737958,True
12782b10-113b-4db4-bea3-e6ac0906ce1a,bd5d9229-175a-43e5-a834-98abbe314b5a,d3d2117a-2571-4fbb-93b2-822016cc05c1,2024-03-30 20:52:17.615147,True
9181b6eb-cbbd-4fac-ad49-1f48d5f8d9f5,6a8a381f-1491-4c4e-8c07-66b4c784e658,d77ff901-1993-4821-acbd-2ff528144e31,2024-06-26 06:38:33.165043,False
9d16616c-f3e8-4184-88b7-1312b0b2fcbe,7c085d2d-48eb-4351-86ea-88bf8a9b514e,6cda19ea-0795-4306-815f-99bc628c356a,2024-09-05 05:53:32.538054,False
ce50e188-f216-47c5-929c-d665822137de,b0bafe4a-2ef2-4f97-be82-8bb347f4b298,6614a80c-a9ea-4e60-b178-14028d32cecd,2024-04-10 10:23:15.074578,False
ecca0617-8198-4ff6-991a-0ba55a731518,e37032ad-4f92-4caa-997a-7abce454da10,ff79d9e2-b9fd-41d0-bf4b-94445a1fe350,2024-02-18 14:22:58.984220,True
4921c9be-e099-4fe8-b9c8-e460540a7335,23dc9725-ceea-4b8f-9ee1-e0d014db62be,55a8b985-3ac4-49e5-8d6a-92c13487c1a3,2025-01-07 02:59:47.479538,True
b830c12e-4b67-4531-8786-e8cb00e72b71,e4f051d6-c661-4d02-b5a2-65d373383f47,9fc35faa-9320-4a9d-a079-1c432c6759ff,2024-08-21 00:47:30.794008,True
ecedce9b-f5fa-4f2b-b509-3f8ca35d3d7d,1f60feb2-b3ec-4aff-8a44-01a44588ca22,63b81fa8-b3a3-48d9-afe4-6513a0e1d755,2025-01-25 11:36:50.023329,True
beb72db8-a7ee-4078-bc0c-9ef41630d51c,6c633acb-2ffa-4986-973f-bfd3dcd6da63,520b4305-bb0e-4178-bbd3-c56ade0d4da8,2024-02-11 16:04:39.803041,False
ad365070-a3ea-42bd-84e7-4c8c6084c206,393a6d06-87dc-4a1e-8bc9-956162625c01,056663cb-ab92-4959-9483-21ec23220323,2025-01-12 17:46:29.515727,False
b6320244-dd5d-4eb3-b533-41885eed42aa,3c0a754d-042e-4fad-83a6-6bf7b19370a3,62408ccc-5a4a-43d5-86a5-ca971498bc3b,2024-08-24 03:58:01.870075,False
1df8da11-0487-46d1-8d68-0f4f709a91a3,661dbd06-1ecd-4fae-af5f-44efd4baa863,7f10fd8d-0112-436c-a253-9f12a0e8457e,2024-02-04 11:20:39.604783,True
72b0144a-4b88-4a82-bc5f-4f9ae05ddf35,64b39bbc-e5f5-4684-ad7b-06256a5fdf97,981a6e58-112b-4520-9e21-13dbb7a7e4ed,2024-04-23 19:47:54.405941,True
cd18c66a-0bda-45a7-a6af-2d776efdce29,76801fd9-63f4-4c21-8c36-9667361112ea,e45e8f29-68ff-47c7-b69c-50e288590515,2024-05-17 07:00:17.391721,False
4f00d9ff-22ad-4f25-9dda-ee76eabcc628,55a7afd3-e13f-403e-9500-eefca415e0fc,3ebd4106-ab6a-4b60-9a0b-3af164be4b3f,2024-02-10 06:52:46.183900,True
e244243b-2068-487d-8540-b0b3fa1d6346,0a88e42f-cf5f-4ae7-9d64-e1629bce8ebc,598f333a-ea8e-4202-8f06-b0a297dda5ca,2024-08-31 20:16:35.326939,True
1ab3d35d-0c3d-4145-9ff6-d4fa52822cc3,eecd42e1-4445-4320-bffa-f84d2ae6f6a9,8b2b2423-38ef-4056-b3c9-0cf2536a7ffe,2024-07-08 07:59:22.434745,False
a8258c64-6cec-4ff5-b3f2-8d50f85cdae7,21a2bb4e-54d8-45bd-bd35-17ba460f76de,b77f1db8-af20-4b49-b2e9-fccaefeab2e8,2024-09-09 21:38:15.998849,False
fd2b30e2-9730-45d3-962b-a7fd5d2e5915,68caf9fe-159f-4daf-b3a9-773b9eb99668,62408ccc-5a4a-43d5-86a5-ca971498bc3b,2024-07-26 03:08:48.532464,True
1096ee12-565a-491d-920b-47de0bb19b9e,08882c69-d9ee-4795-a746-f74920c38d5c,362ce9ad-8b24-45fa-a604-a6d9676d4927,2024-05-13 00:04:37.823989,True
14fc33dc-5bb8-4343-811b-e5f66d090198,72b9e0f1-d41d-47b0-aa8d-f75e4d4baa59,3884d417-7998-461d-b4a1-08ab2d96db5b,2024-06-21 05:25:29.636101,False
e783171d-403b-4038-babd-cd86b92b08a3,22ba6569-b918-44c7-926f-fb25acc74918,41f4a65f-34e3-4a80-9434-6f5e2546e2d8,2024-04-09 05:06:16.825617,False
400721f2-b14e-4b52-84b5-ad9e4de2627c,d9aaabc1-f366-4929-b107-910ecb41c825,7815d3ed-adbc-4dd5-a976-a2205f13e9f8,2024-07-10 04:35:20.235030,False
18eab6c1-f0ff-416f-ae3a-ac46e1dae620,f062fb9e-812d-448d-8e47-e9683da26cee,b47bdcda-125b-49c1-9482-fec78e4d224b,2024-10-13 15:57:25.420608,True
27dcc52c-ad6f-40db-b8ee-a17f006d206e,0a520088-d897-41da-bcb3-e3977cc6003f,12e63e51-fddc-4e91-b5b8-a746f168edef,2024-08-17 17:30:15.003589,False
7f6a6fe4-a5b8-4f50-aa33-f59e97be2c21,f143497d-2929-44f3-aab5-08205e524fcd,28b45e22-7550-467a-92c9-5634505e9120,2024-05-30 09:17:04.611674,False
7653cb2d-3634-4ddd-9150-a2ad5d3363cc,3b8c7006-4934-4464-8bfd-1bc94b637a49,f4725d03-1476-47eb-af10-be2f55b868b6,2024-02-25 12:27:16.266099,True
88c506c3-2f25-41cb-8b45-2d9142888735,14a9f419-2c04-4fcc-b925-783eaf1537a1,b5560625-4546-4c91-b63a-3869183404b5,2024-02-25 21:47:01.553548,False
914e379a-9895-4de5-b78f-e43c0087c38c,2353ac00-0b69-4719-b13e-955a0cef4dec,043faa1c-32bf-4b1b-921a-caf7eab82c92,2025-01-24 18:40:24.664190,True
71c7837f-3009-445a-b354-bac67bcd2046,bf58231b-5b57-4de5-b6ea-da9c90699988,cdaa3305-dcd6-4dab-8369-288129dcf87d,2024-06-12 05:25:32.489260,False
